model_name_short,benchmark_name,total_cost,accuracy,pareto_optimal,pareto_distance
deepseek-ai/DeepSeek-V3,colbench_backend_programming,1.4882825000000002,0.3357,True,0.0
deepseek-ai/DeepSeek-R1,colbench_backend_programming,4.1378225,0.291,False,0.11613864659729295
gemini-2.0-flash,colbench_backend_programming,5.8769446,0.4541,True,0.0
o4-mini,colbench_backend_programming,8.5452184,0.4293,False,0.03305277331407123
gpt-4.1,colbench_backend_programming,13.992082,0.4792,True,0.0
claude-3-7-sonnet,colbench_backend_programming,33.770215,0.519,True,0.0
deepseek-ai/DeepSeek-V3,colbench_frontend_design,0.8399675,0.7521637803316117,True,0.0
deepseek-ai/DeepSeek-R1,colbench_frontend_design,0.8549175000000001,0.7487044110894203,False,0.003983738551326299
gemini-2.0-flash,colbench_frontend_design,2.6645343,0.8164620268344879,True,0.0
o4-mini,colbench_frontend_design,11.180017433333337,0.8239094551384248,True,0.0
claude-3-7-sonnet,colbench_frontend_design,71.2957715,0.836669987500316,True,0.0
gemini-2.0-flash,gaia,13.307103,0.2606060606060606,True,0.0
o3-mini,gaia,33.5984488,0.3292929292929293,True,0.0
deepseek-ai/DeepSeek-V3,gaia,52.9535175,0.3242424242424242,False,0.06159279337206512
gpt-4.1,gaia,92.03315,0.5,True,0.0
deepseek-ai/DeepSeek-R1,gaia,108.1348655,0.2757575757575757,False,0.25115144548520746
o4-mini,gaia,108.3522858,0.5272727272727272,True,0.0
claude-3-7-sonnet,gaia,264.3991395,0.3636363636363636,False,156.04693949747525
gemini-2.0-flash,scicode,22.2798757,0.0102564102564102,True,0.0
gpt-4.1,scicode,48.692034666666665,0.0307692307692307,True,0.0
o4-mini,scicode,58.21018060000001,0.0478632478632478,True,0.0
claude-3-7-sonnet,scicode,85.635643,0.0205128205128205,False,0.029552355920295672
deepseek-ai/DeepSeek-V3,scicode,90.75498208333336,0.0102564102564102,False,0.040219786358123635
o3-mini,scicode,292.4105266666667,0.0666666666666666,True,0.0
gemini-2.0-flash,scienceagentbench,0.1932662,0.1274509803921568,True,0.0
deepseek-ai/DeepSeek-V3,scienceagentbench,2.0904475,0.1568627450980392,True,0.0
gpt-4.1,scienceagentbench,7.415739999999999,0.2450980392156862,True,0.0
o4-mini,scienceagentbench,7.566315900000001,0.2745098039215686,True,0.0
claude-3-7-sonnet,scienceagentbench,8.474863000000001,0.261437908496732,False,0.014122404713520388
gemini-2.5-pro-preview,scienceagentbench,11.198726250000002,0.1862745098039215,False,0.0924352513516467
deepseek-ai/DeepSeek-R1,scienceagentbench,18.242402,0.2352941176470588,False,0.051560007319871495
o3,scienceagentbench,58.440180000000005,0.3333333333333333,True,0.0
gemini-2.0-flash,swebench_verified_mini,6.024403100000001,0.13,True,0.0
deepseek-ai/DeepSeek-V3,swebench_verified_mini,20.96949,0.1699999999999999,True,0.0
deepseek-ai/DeepSeek-R1,swebench_verified_mini,75.43669100000001,0.03,False,0.2015920076694481
o3-mini,swebench_verified_mini,75.79737308,0.232,True,0.0
gpt-4.1,swebench_verified_mini,222.72493,0.23,False,0.23968051042604474
gpt-4o,swebench_verified_mini,250.1544225,0.15,False,0.36405231246919123
o4-mini,swebench_verified_mini,253.8308201,0.52,True,0.0
claude-3-7-sonnet,swebench_verified_mini,349.57340425,0.45,False,95.74260973944584
o3,swebench_verified_mini,421.7886600000001,0.44,False,167.9578589523993
o1,swebench_verified_mini,447.78432,0.4,False,193.95353702229636
gemini-2.0-flash,taubench_airline,2.003067,0.22,True,0.0
o4-mini,taubench_airline,19.616682800000003,0.37,True,0.0
deepseek-ai/DeepSeek-V3,taubench_airline,20.66703125,0.26,False,0.12274977942980016
o3-mini,taubench_airline,24.281665466666663,0.4266666666666667,True,0.0
gpt-4.1,taubench_airline,30.213046,0.36,False,0.09704895936078861
deepseek-ai/DeepSeek-R1,taubench_airline,30.966164,0.2299999999999999,False,0.2309050589123259
claude-3-7-sonnet,taubench_airline,38.59755933333333,0.5,True,0.0
gpt-4o,taubench_airline,46.468065,0.4,False,7.871140924226438
o3,taubench_airline,237.93406500000003,0.44,False,199.3365146966231
deepseek-ai/DeepSeek-V3,usaco,12.078695000000002,0.3908794788273615,True,0.0
gpt-4.1,usaco,28.095832,0.4495114006514658,True,0.0
claude-3-7-sonnet,usaco,47.5661325,0.2801302931596091,False,19.47103724817647
deepseek-ai/DeepSeek-R1,usaco,80.04351,0.3811074918566775,False,51.947723036591526
o3-mini,usaco,123.61867833333336,0.4375678610206297,False,95.52284708000363
